# t,AcOH(aq),AcO-(aq),H+(aq),AcOH(g),AcO-(g)
0.000000000000000000e+00,1.000000000000000056e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.042487508941846183e-05,9.999695135922322120e-02,3.042435644302032890e-06,3.042435644302032890e-06,6.205132491464914720e-09,1.954098372525339868e-62
3.187034282529936966e-05,9.999680681777552149e-02,3.186977100956463763e-06,3.186977100956463763e-06,6.205123531858527578e-09,2.046934592657010188e-62
3.338448387436011269e-05,9.999665540955442189e-02,3.338385331432481816e-06,3.338385331432481816e-06,6.205114150751968356e-09,2.144181210613987824e-62
3.497056086490155194e-05,9.999649680835294430e-02,3.496986542751631022e-06,3.496986542751631022e-06,6.205104309079902164e-09,2.246047742943021737e-62
3.663199143075637559e-05,9.999633067248125950e-02,3.663122424750050798e-06,3.663122424750050798e-06,6.205093999858281789e-09,2.352753650507304993e-62
3.837235557550976211e-05,9.999615664401413639e-02,3.837150902679055582e-06,3.837150902679055582e-06,6.205083200876651004e-09,2.464528821867468826e-62
4.019540338658984829e-05,9.999597434802649787e-02,4.019446901630837731e-06,4.019446901630837731e-06,6.205071888869647664e-09,2.581614064257626635e-62
4.210506311585004118e-05,9.999578339178638586e-02,4.210403153580853120e-06,4.210403153580853120e-06,6.205060039466927018e-09,2.704261621933301682e-62
4.410544964405497973e-05,9.999558336390969304e-02,4.410431042694149326e-06,4.410431042694149326e-06,6.205047627140702748e-09,2.832735719095558303e-62
4.620087334750921172e-05,9.999537383347467667e-02,4.619961490703125951e-06,4.619961490703125951e-06,6.205034625150809761e-09,2.967313128552242785e-62
4.839584938593413920e-05,9.999515434909475586e-02,4.839445884248641220e-06,4.839445884248641220e-06,6.205021005487155586e-09,3.108283767331488614e-62
5.069510743160643212e-05,9.999492443794710805e-02,5.069357046164634774e-06,5.069357046164634774e-06,6.205006738809447852e-09,3.255951320519296617e-62
5.310360186072207744e-05,9.999468360475544104e-02,5.310190252778650495e-06,5.310190252778650495e-06,6.204991794384068833e-09,3.410633894652255908e-62
5.562652242894605676e-05,9.999443133072447032e-02,5.562464299396964411e-06,5.562464299396964411e-06,6.204976140017955590e-09,3.572664702058314238e-62
5.826930545415105490e-05,9.999416707242402003e-02,5.826722616243612955e-06,5.826722616243612955e-06,6.204959741989353372e-09,3.742392777603125238e-62
6.084975017883692365e-05,9.999390904860734619e-02,6.084746448930122102e-06,6.084746448930122102e-06,6.204943730827091845e-09,3.908116562909725603e-62
6.103764553044140290e-05,9.999389026062022179e-02,6.103534437227673532e-06,6.103534437227673532e-06,6.204942564975285115e-09,3.920183729366976979e-62
6.393750779870339008e-05,9.999360029905141056e-02,6.393496024022750292e-06,6.393496024022750292e-06,6.204924571975596404e-09,4.106420524847695806e-62
6.697514080012211923e-05,9.999329656314623338e-02,6.697231948057024239e-06,6.697231948057024239e-06,6.204905724233400557e-09,4.301504314358390766e-62
7.015708994036124249e-05,9.999297839868090398e-02,7.015396433131489025e-06,7.015396433131489025e-06,6.204885981151763333e-09,4.505855293365543001e-62
7.349021159341798776e-05,9.999264512037320252e-02,7.348674761508401746e-06,7.348674761508401746e-06,6.204865300206453578e-09,4.719913605592783289e-62
7.698168787554386585e-05,9.999229601040993121e-02,7.697784746441544462e-06,7.697784746441544462e-06,6.204843636854563759e-09,4.944140288798995906e-62
8.063904212106561258e-05,9.999193031690481459e-02,8.063478274254873621e-06,8.063478274254873621e-06,6.204820944438819222e-09,5.179018265226009432e-62
8.447015509345317218e-05,9.999154725228362461e-02,8.446542919216625165e-06,8.446542919216625165e-06,6.204797174087373539e-09,5.425053378801428932e-62
8.848328196656572351e-05,9.999114599159313055e-02,8.847803634602066430e-06,8.847803634602066430e-06,6.204772274608867409e-09,5.682775481275983745e-62
9.127462526825537870e-05,9.999086689534049388e-02,9.126899904568245913e-06,9.126899904568245913e-06,6.204754955812556421e-09,5.862033691039667373e-62
9.268707011266749142e-05,9.999072567073033491e-02,9.268124523490121593e-06,9.268124523490121593e-06,6.204746192382551777e-09,5.952739569572410884e-62
9.709057773553982204e-05,9.999028538458813731e-02,9.708410692996491395e-06,9.708410692996491395e-06,6.204718871243226183e-09,6.235526976724021806e-62
1.017032933888433019e-04,9.998982418511394299e-02,1.016961019581027239e-05,1.016961019581027239e-05,6.204690252360761559e-09,6.531746618886626555e-62
1.065351564217841311e-04,9.998934107927666404e-02,1.065271606307012164e-05,1.065271606307012164e-05,6.204660274113958498e-09,6.842036301016118434e-62
