# t,R1(MeOH),R2(MeOH),P1(MeOH),P2(MeOH),MeO-(MeOH),TS1#(MeOH),Br-(MeOH),TS2#(MeOH)
0.000000000000000000e+00,4.000000000000000222e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.999999999999999778e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.202097769841399655e-05,3.936452929937219181e-01,6.347540913522527195e-03,8.080119701002054202e-07,6.358080785433271987e-06,5.999928339072445604e-01,0.000000000000000000e+00,7.166092755533475713e-06,0.000000000000000000e+00
4.652838837377064920e-05,3.929920099425812108e-01,6.999321522131855301e-03,8.992979265881902730e-07,7.769237360336793936e-06,5.999913314647131735e-01,0.000000000000000000e+00,8.668535286924981562e-06,0.000000000000000000e+00
5.151928972709619538e-05,3.922748601964210491e-01,7.714647068925140592e-03,1.002481105065087175e-06,9.490253548705914778e-06,5.999895072653462780e-01,0.000000000000000000e+00,1.049273465377100132e-05,0.000000000000000000e+00
5.704554373692302010e-05,3.914883253466897028e-01,8.498966997249673624e-03,1.119679070465874837e-06,1.158797699014540551e-05,5.999872923439394379e-01,0.000000000000000000e+00,1.270765606061127886e-05,0.000000000000000000e+00
6.316457539455720314e-05,3.906265730010397563e-01,9.358030154036675596e-03,1.253533338614777957e-06,1.414331158492230057e-05,5.999846031550765124e-01,0.000000000000000000e+00,1.539684492353707662e-05,0.000000000000000000e+00
6.993996942468089294e-05,3.896834767559813617e-01,1.029786186862979847e-02,1.407380615020496875e-06,1.725399477379493946e-05,5.999813386246112268e-01,0.000000000000000000e+00,1.866137538881543675e-05,0.000000000000000000e+00
7.744213101362510082e-05,3.886526480486675039e-01,1.132472858570228100e-02,1.585475853752291119e-06,2.103788977646449165e-05,5.999773766343698966e-01,0.000000000000000000e+00,2.262336563021678383e-05,0.000000000000000000e+00
8.404195539682799310e-05,3.877573218423163715e-01,1.221627152219989867e-02,1.749620816785500942e-06,2.465701466689077716e-05,5.999735933645163888e-01,0.000000000000000000e+00,2.640663548367628530e-05,0.000000000000000000e+00
8.574901741113891834e-05,3.875274813095405668e-01,1.244508856647594253e-02,1.793294708611148159e-06,2.563682927487521290e-05,5.999725698760165482e-01,0.000000000000000000e+00,2.743012398348636678e-05,0.000000000000000000e+00
9.494694800795355999e-05,3.863012244577069265e-01,1.366551627494640500e-02,2.037841090805831120e-06,3.122142625581521568e-05,5.999667407326534363e-01,0.000000000000000000e+00,3.325926734662105908e-05,0.000000000000000000e+00
1.051315013069058923e-04,3.849670564143556906e-01,1.499261921435453455e-02,2.328214286152227859e-06,3.799615700356809875e-05,5.999596756287103316e-01,0.000000000000000000e+00,4.032437128972033211e-05,0.000000000000000000e+00
1.164085081083184687e-04,3.835181950630645042e-01,1.643292314335583273e-02,2.676254827776293665e-06,4.620553875183379687e-05,5.999511182064204418e-01,0.000000000000000000e+00,4.888179357961009477e-05,0.000000000000000000e+00
1.260629330952419964e-04,3.823010797930469495e-01,1.764211072580842282e-02,2.998331259145048195e-06,5.381114988544092903e-05,5.999431905188554737e-01,0.000000000000000000e+00,5.680948114458598316e-05,0.000000000000000000e+00
1.288951512301317890e-04,3.819480414086103282e-01,1.799271973150691484e-02,3.097294647043397877e-06,5.614156523566273536e-05,5.999407611401172957e-01,0.000000000000000000e+00,5.923885988270612688e-05,0.000000000000000000e+00
1.427211831903147559e-04,3.802503343882955855e-01,1.967790281783122694e-02,3.611362448159858833e-06,6.815143142499809439e-05,5.999282372061268687e-01,0.000000000000000000e+00,7.176279387315796169e-05,0.000000000000000000e+00
1.580302745048616615e-04,3.784193571920507204e-01,2.149375131206501810e-02,4.244519348464783988e-06,8.264697653575701040e-05,5.999131085041158329e-01,0.000000000000000000e+00,8.689149588422179270e-05,0.000000000000000000e+00
1.680839107936559862e-04,3.772441875178589310e-01,2.265828210114767885e-02,4.699526265423637969e-06,9.283085472794890371e-05,5.999024696190067285e-01,0.000000000000000000e+00,9.753038099337253491e-05,0.000000000000000000e+00
1.749815066119536112e-04,3.764501738312765466e-01,2.344468049765507933e-02,5.030655132169996382e-06,1.001150159361539259e-04,5.998948543289317481e-01,0.000000000000000000e+00,1.051456710683239129e-04,0.000000000000000000e+00
1.937510249357141199e-04,3.743388944683367359e-01,2.553396320835232131e-02,6.013855644263878464e-06,1.211284676666739513e-04,5.998728576766890752e-01,0.000000000000000000e+00,1.271423233109378196e-04,0.000000000000000000e+00
2.101048884920699760e-04,3.725566917005119771e-01,2.729552042082347002e-02,6.973843419324556871e-06,1.408140352451983993e-04,5.998522121213355485e-01,0.000000000000000000e+00,1.477878786645229494e-04,0.000000000000000000e+00
2.145338692670466501e-04,3.720829983364764004e-01,2.776339124226582036e-02,7.251177567689862350e-06,1.463592436900849967e-04,5.998463895787422562e-01,0.000000000000000000e+00,1.536104212577748531e-04,0.000000000000000000e+00
