# t,He(g),He(aq),Ne(g),Ne(aq),Ar(g),Ar(aq)
0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
1.255784151491358581e-07,9.999998744216895830e-01,1.255783103749705016e-07,9.999998744216955782e-01,1.255783044318203666e-07,9.999998744217106772e-01,1.255782893082704454e-07
1.255784151491359110e-07,9.999998744216895830e-01,1.255783103749705545e-07,9.999998744216955782e-01,1.255783044318204196e-07,9.999998744217106772e-01,1.255782893082704983e-07
1.446523562763789212e-07,9.999998553477827956e-01,1.446522172570453399e-07,9.999998553477906782e-01,1.446522093713924294e-07,9.999998553478106622e-01,1.446521893047509810e-07
1.666234133585694665e-07,9.999998333767711189e-01,1.666232289011242090e-07,9.999998333767815550e-01,1.666232184380670364e-07,9.999998333768082004e-01,1.666231918126987320e-07
1.919316255465261094e-07,9.999998080686192115e-01,1.919313807996429645e-07,9.999998080686330892e-01,1.919313669167642770e-07,9.999998080686683943e-01,1.919313315889683286e-07
2.210838689617890708e-07,9.999997789164557505e-01,2.210835442200269557e-07,9.999997789164741802e-01,2.210835257995682587e-07,9.999997789165210316e-01,2.210834789249821687e-07
2.511568302982718220e-07,9.999997488435887760e-01,2.511564112018434361e-07,9.999997488436125348e-01,2.511563874292700542e-07,9.999997488436730420e-01,2.511563269351463376e-07
2.546640084766275164e-07,9.999997453364224409e-01,2.546635775938778651e-07,9.999997453364468658e-01,2.546635531527447132e-07,9.999997453365090383e-01,2.546634909573355226e-07
2.933445914346323874e-07,9.999997066559802583e-01,2.933440197190065896e-07,9.999997066560126768e-01,2.933439872893601813e-07,9.999997066560952774e-01,2.933439047655654031e-07
3.379003175152217795e-07,9.999996621004411113e-01,3.378995589358901044e-07,9.999996621004840769e-01,3.378995159067104575e-07,9.999996621005935449e-01,3.378994064102637870e-07
3.767352454474077594e-07,9.999996232656974682e-01,3.767343024809683369e-07,9.999996232657509809e-01,3.767342489927394126e-07,9.999996232658870943e-01,3.767341128811321111e-07
3.892235545182365304e-07,9.999996107774520304e-01,3.892225479993321861e-07,9.999996107775090959e-01,3.892224909061970010e-07,9.999996107776544241e-01,3.892223456211788351e-07
4.483422108207589642e-07,9.999995516591246858e-01,4.483408753239592923e-07,9.999995516592004030e-01,4.483407995701131968e-07,9.999995516593932487e-01,4.483406067991556584e-07
5.023136605965436440e-07,9.999994976880157704e-01,5.023119842126948434e-07,9.999994976881109165e-01,5.023118891226188975e-07,9.999994976883528341e-01,5.023116471467319889e-07
5.164403224579959962e-07,9.999994835614495203e-01,5.164385504578644192e-07,9.999994835615501065e-01,5.164384499441211039e-07,9.999994835618057909e-01,5.164381941666212250e-07
5.948817671489471914e-07,9.999994051205840506e-01,5.948794159757183079e-07,9.999994051207173884e-01,5.948792826093988398e-07,9.999994051210567836e-01,5.948789432319142007e-07
6.278920757456795285e-07,9.999993721105435718e-01,6.278894563973726213e-07,9.999993721106922306e-01,6.278893078192988853e-07,9.999993721110702616e-01,6.278889297324505908e-07
6.852375802143869736e-07,9.999993147655393821e-01,6.852344605671807602e-07,9.999993147657163517e-01,6.852342836105511696e-07,9.999993147661666582e-01,6.852338333087717093e-07
7.534704908948155189e-07,9.999992465332809832e-01,7.534667190353516011e-07,9.999992465334949232e-01,7.534665050831702816e-07,9.999992465340393766e-01,7.534659606387924836e-07
7.893174194738781784e-07,9.999992106867198194e-01,7.893132801795118035e-07,9.999992106869546316e-01,7.893130453852626654e-07,9.999992106875520426e-01,7.893124479040687058e-07
8.790489060439514034e-07,9.999991209562278938e-01,8.790437721269812898e-07,9.999991209565191053e-01,8.790434809146229334e-07,9.999991209572601791e-01,8.790427398662616521e-07
9.092058093048275874e-07,9.999990907996828549e-01,9.092003170951262473e-07,9.999990907999944945e-01,9.092000055592905944e-07,9.999990908007871937e-01,9.091992127937785190e-07
1.004627321193087288e-06,9.999989953793843034e-01,1.004620615672612147e-06,9.999989953797647768e-01,1.004620235314048593e-06,9.999989953807326692e-01,1.004619267415363563e-06
1.047303889764214658e-06,9.999989527033975589e-01,1.047296602443646711e-06,9.999989527038110060e-01,1.047296189083603800e-06,9.999989527048628313e-01,1.047295137206072690e-06
1.130205736342223172e-06,9.999988698027503231e-01,1.130197249672587645e-06,9.999988698032317158e-01,1.130196768281830650e-06,9.999988698044567359e-01,1.130195543286593413e-06
1.206377506929808116e-06,9.999987936321621529e-01,1.206367837773122663e-06,9.999987936327107141e-01,1.206367289308153797e-06,9.999987936341063754e-01,1.206365893629238806e-06
1.255784151491359057e-06,9.999987442263258419e-01,1.255773674127263644e-06,9.999987442269202553e-01,1.255773079818366361e-06,9.999987442284326011e-01,1.255771567480464822e-06
1.381362566640494941e-06,9.999986186501109708e-01,1.381349889036989120e-06,9.999986186508300623e-01,1.381349169924045998e-06,9.999986186526600429e-01,1.381347339997482198e-06
1.389612607620340773e-06,9.999986104002218656e-01,1.389599778133823626e-06,9.999986104009496168e-01,1.389599050405633435e-06,9.999986104028014688e-01,1.389597198555866645e-06
1.506940981789631038e-06,9.999984930741055988e-01,1.506925894402114535e-06,9.999984930749614698e-01,1.506925038599260042e-06,9.999984930771391722e-01,1.506922860838150373e-06
1.600679047947267327e-06,9.999983993379747416e-01,1.600662025190337172e-06,9.999983993389404135e-01,1.600661059607822443e-06,9.999983993413975591e-01,1.600658602490668980e-06
1.632519396938766922e-06,9.999983674983097259e-01,1.632501690222988653e-06,9.999983674993141447e-01,1.632500685844398976e-06,9.999983675018699891e-01,1.632498130002972907e-06
1.758097812087902807e-06,9.999982419227234631e-01,1.758077276499961510e-06,9.999982419238884201e-01,1.758076111659853070e-06,9.999982419268526046e-01,1.758073147492454208e-06
1.843804093663917293e-06,9.999981562184928618e-01,1.843781507084794322e-06,9.999981562197741702e-01,1.843780225906831759e-06,9.999981562230343402e-01,1.843776965694866879e-06
1.883676227237038691e-06,9.999981163473466994e-01,1.883652653233382933e-06,9.999981163486839630e-01,1.883651316046012807e-06,9.999981163520866856e-01,1.883647913307099533e-06
2.009254642386174576e-06,9.999979907721795458e-01,2.009227820423602745e-06,9.999979907737009954e-01,2.009226299003268668e-06,9.999979907775725652e-01,2.009222427447412442e-06
2.123857084386481941e-06,9.999978761728844923e-01,2.123827115476328657e-06,9.999978761745844658e-01,2.123825415552816765e-06,9.999978761789103388e-01,2.123821089760653005e-06
