# t,NH3(w),OH·(w),NH3·OH#(w),NH2·(w),H2O(w),NH4+(w)
0.000000000000000000e+00,1.000000000000000056e-01,1.000000000000000056e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.366924130819065086e-08,6.120097516859462905e-02,6.120097517044147117e-02,0.000000000000000000e+00,3.879902482955852050e-02,3.879902482955852744e-02,1.846880280411660793e-12
3.366924130819065748e-08,6.120097516859462211e-02,6.120097517044146423e-02,0.000000000000000000e+00,3.879902482955852744e-02,3.879902482955853438e-02,1.846880280411660793e-12
3.526884695519969675e-08,6.009329106161062639e-02,6.009329106352617744e-02,0.000000000000000000e+00,3.990670893647381423e-02,3.990670893647382811e-02,1.915583417665578290e-12
3.694444891595165762e-08,5.897511096833819161e-02,5.897511097032438060e-02,0.000000000000000000e+00,4.102488902967561107e-02,4.102488902967561801e-02,1.986230831160213325e-12
3.869965773015255397e-08,5.784762436929399843e-02,5.784762437135280294e-02,0.000000000000000000e+00,4.215237562864718873e-02,4.215237562864719567e-02,2.058837921274571335e-12
4.053825547210433554e-08,5.671195127243960910e-02,5.671195127457299284e-02,0.000000000000000000e+00,4.328804872542699883e-02,4.328804872542700577e-02,2.133419897998117050e-12
4.246420390021157899e-08,5.556909213122453867e-02,5.556909213343449311e-02,0.000000000000000000e+00,4.443090786656549857e-02,4.443090786656550550e-02,2.209992617318858445e-12
4.448165299366642308e-08,5.442028747697656710e-02,5.442028747926509757e-02,0.000000000000000000e+00,4.557971252073489410e-02,4.557971252073490104e-02,2.288566271121803363e-12
4.659494989470637189e-08,5.326684258487171530e-02,5.326684258724082716e-02,0.000000000000000000e+00,4.673315741275916452e-02,4.673315741275917146e-02,2.369148367555756299e-12
4.880864827571336434e-08,5.210991593756732904e-02,5.210991594001904148e-02,0.000000000000000000e+00,4.789008405998095019e-02,4.789008405998095713e-02,2.451747163413707326e-12
5.112751815133827638e-08,5.095061413573265946e-02,5.095061413826899865e-02,0.000000000000000000e+00,4.904938586173099302e-02,4.904938586173099996e-02,2.536370000795176261e-12
5.355655615679349312e-08,4.979034292347226526e-02,4.979034292609525042e-02,0.000000000000000000e+00,5.020965707390474125e-02,5.020965707390474819e-02,2.623016782644236172e-12
5.439166145291531573e-08,4.940356749566848088e-02,4.940356749832079675e-02,0.000000000000000000e+00,5.059643250167919493e-02,5.059643250167920187e-02,2.652350578042590448e-12
5.610099631446116624e-08,4.863034898388305521e-02,4.863034898659470556e-02,0.000000000000000000e+00,5.136965101340528611e-02,5.136965101340529999e-02,2.711688267546713671e-12
