# t,Benzaldehyde(dcm),NButylamine(dcm),A_N(dcm),A_N_N(dcm),Water(dcm),A_N_W(dcm),A_N_N_W(dcm),A_N_W_W(dcm),TS1_#(dcm),Hemiaminal(dcm),TS2_#(dcm),I_W(dcm),TS1N_#(dcm),Int_N(dcm),TS2N_#(dcm),I_N_W(dcm),TS1W_#(dcm),Int_W(dcm),TS2W_#(dcm),I_W_W(dcm),TS1NW_#(dcm),Int_N_W(dcm),TS2NW_#(dcm),I_N_W_W(dcm),TS1WW_#(dcm),Int_W_W(dcm),TS2WW_#(dcm),I_W_W_W(dcm),Imine(dcm)
0.000000000000000000e+00,5.999999999999999778e-02,5.999999999999999778e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000021e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.927300976487682552e-04,5.999926941722312501e-02,5.999923125952743436e-02,6.915747065417203608e-07,3.809090938581205354e-08,9.999989470461830010e-04,6.055540914609683247e-10,1.141159797753989200e-11,3.277812009673758607e-11,0.000000000000000000e+00,7.867861506335418446e-19,0.000000000000000000e+00,3.163481923835377711e-21,0.000000000000000000e+00,2.101538886887947127e-11,0.000000000000000000e+00,2.735066414769889162e-20,0.000000000000000000e+00,8.801041628283521348e-11,0.000000000000000000e+00,3.868413114247709515e-16,0.000000000000000000e+00,3.435001506079314013e-11,0.000000000000000000e+00,9.300152519673321463e-15,0.000000000000000000e+00,1.151887862584917592e-10,0.000000000000000000e+00,8.842346071102924273e-12,4.955954340135565949e-16
2.287580786100684271e-04,5.999913406901749569e-02,5.999908950273634411e-02,8.203554149094972422e-07,4.448268278637435023e-08,9.999987502671353005e-04,7.013266590805946501e-10,1.152433465519281601e-11,3.276676734228725510e-11,0.000000000000000000e+00,1.107985636385730638e-18,0.000000000000000000e+00,5.331031942344998090e-21,0.000000000000000000e+00,2.927155199077900125e-11,0.000000000000000000e+00,4.564818958102917433e-20,0.000000000000000000e+00,1.218368580647102084e-10,0.000000000000000000e+00,6.436366819272857484e-16,0.000000000000000000e+00,4.278862600061899294e-11,0.000000000000000000e+00,1.385105870772881515e-14,0.000000000000000000e+00,1.404350413663257832e-10,0.000000000000000000e+00,1.291958279591096085e-11,8.908606657432859681e-16
2.715209464830815552e-04,5.999897389690409671e-02,5.999892199815789334e-02,9.730064646538854934e-07,5.179355562598093345e-08,9.999985167235311400e-04,8.086469717714696720e-10,1.122556702844234332e-11,3.149237854949921718e-11,0.000000000000000000e+00,1.560195442751535061e-18,0.000000000000000000e+00,1.264239143899289173e-20,0.000000000000000000e+00,4.070856684171535226e-11,0.000000000000000000e+00,7.557840993095542078e-20,0.000000000000000000e+00,1.683228972201552367e-10,0.000000000000000000e+00,1.058959388031516399e-15,0.000000000000000000e+00,5.323598645574861768e-11,0.000000000000000000e+00,2.045458411194681445e-14,0.000000000000000000e+00,1.707056999233543463e-10,0.000000000000000000e+00,1.871447209271722959e-11,1.568295567795891937e-15
3.222776866592527776e-04,5.999878444035549457e-02,5.999872420980125604e-02,1.153907376697109331e-06,6.009751686637615340e-08,9.999982395497021125e-04,9.275922319967305637e-10,1.052597602224308868e-11,2.904269937980120737e-11,0.000000000000000000e+00,2.196772725351527513e-18,0.000000000000000000e+00,3.074837105007021425e-20,0.000000000000000000e+00,5.650193508441320415e-11,0.000000000000000000e+00,1.245701285865857804e-19,0.000000000000000000e+00,2.319101348485868482e-10,0.000000000000000000e+00,1.731223631577337728e-15,0.000000000000000000e+00,6.597944143877777013e-11,0.000000000000000000e+00,3.002084321307365367e-14,0.000000000000000000e+00,2.062492647216519605e-10,0.000000000000000000e+00,2.691477800510341297e-11,2.722637781324686794e-15
3.825226328345586219e-04,5.999856046832979101e-02,5.999849084684829442e-02,1.368222838997833323e-06,6.945241471627223445e-08,9.999979105984344117e-04,1.057750476429850075e-09,9.651809113121699477e-12,2.621844721901077498e-11,0.000000000000000000e+00,3.092752265709504747e-18,0.000000000000000000e+00,7.012298933593385280e-20,0.000000000000000000e+00,7.822486348224164269e-11,0.000000000000000000e+00,2.048639456041657483e-19,0.000000000000000000e+00,3.183724342889730180e-10,0.000000000000000000e+00,2.821219688012498648e-15,0.000000000000000000e+00,8.114623823774801764e-11,0.000000000000000000e+00,4.386884950418584958e-14,0.000000000000000000e+00,2.465302082497322808e-10,0.000000000000000000e+00,3.847064386063338653e-11,4.681283487585387071e-15
3.854601952975365104e-04,5.999854957185424276e-02,5.999847950579108996e-02,1.378661781270701129e-06,6.989515998511721049e-08,9.999978945596193873e-04,1.063808892618116892e-09,9.617063288787320526e-12,2.611191389975365263e-11,0.000000000000000000e+00,3.140332342686564764e-18,0.000000000000000000e+00,7.263391238452414423e-20,0.000000000000000000e+00,7.936366699586085437e-11,0.000000000000000000e+00,2.094589253210307211e-19,0.000000000000000000e+00,3.228756204129310488e-10,0.000000000000000000e+00,2.883285762178586052e-15,0.000000000000000000e+00,8.187782274972317656e-11,0.000000000000000000e+00,4.461449353817306823e-14,0.000000000000000000e+00,2.484133508014989357e-10,0.000000000000000000e+00,3.908387471944228560e-11,4.795076462074143750e-15
4.540294618205810168e-04,5.999829585423301082e-02,5.999821574703382426e-02,1.622035968519905987e-06,7.989142124538100025e-08,9.999975202015457670e-04,1.198156727063336811e-09,9.291969835193781218e-12,2.533057933834498127e-11,0.000000000000000000e+00,4.353617497034710006e-18,0.000000000000000000e+00,1.497484599846179502e-19,0.000000000000000000e+00,1.079553595893587264e-10,0.000000000000000000e+00,3.366682339747625668e-19,0.000000000000000000e+00,4.350373737699206178e-10,0.000000000000000000e+00,4.592414604905288542e-15,0.000000000000000000e+00,9.846669619130927485e-11,0.000000000000000000e+00,6.391640304733862595e-14,0.000000000000000000e+00,2.893744776647125928e-10,0.000000000000000000e+00,5.468752937968453723e-11,7.994118509361813987e-15
5.389034125210665415e-04,5.999798343907685599e-02,5.999789175595300617e-02,1.922501074391622396e-06,9.140670645908274993e-08,9.999970568867406259e-04,1.346994003486617517e-09,9.852866292209238665e-12,2.730793987818875661e-11,0.000000000000000000e+00,6.127600060686327228e-18,0.000000000000000000e+00,3.096427284403485976e-19,0.000000000000000000e+00,1.484401339311309518e-10,0.000000000000000000e+00,5.523800299811259171e-19,0.000000000000000000e+00,5.912716339244321563e-10,0.000000000000000000e+00,7.459765838268559260e-15,0.000000000000000000e+00,1.180315930217550444e-10,0.000000000000000000e+00,9.280147715292049592e-14,0.000000000000000000e+00,3.338887509751540595e-10,0.000000000000000000e+00,7.724153874522383425e-11,1.355785931350183551e-14
5.781902929463047115e-04,5.999783941574736434e-02,5.999774267189168786e-02,2.061290513169435665e-06,9.643759167589193049e-08,9.999968424459694961e-04,1.410051520608570688e-09,9.999905719448914405e-12,2.777260038081540044e-11,0.000000000000000000e+00,7.050478641926912960e-18,0.000000000000000000e+00,4.124586127198877962e-19,0.000000000000000000e+00,1.689575568496173069e-10,0.000000000000000000e+00,6.768489236220710506e-19,0.000000000000000000e+00,6.694088854733775391e-10,0.000000000000000000e+00,9.100630184372795327e-15,0.000000000000000000e+00,1.271985576546913777e-10,0.000000000000000000e+00,1.079783928746464586e-13,0.000000000000000000e+00,3.538501144582860019e-10,0.000000000000000000e+00,8.877473694077191179e-11,1.682152622832966839e-14
