# t,Benzaldehyde(dcm),NButylamine(dcm),A_N(dcm),A_N_N(dcm),Water(dcm),A_N_W(dcm),A_N_N_W(dcm),A_N_W_W(dcm),TS1_#(dcm),Hemiaminal(dcm),TS2_#(dcm),I_W(dcm),TS1N_#(dcm),Int_N(dcm),TS2N_#(dcm),I_N_W(dcm),TS1W_#(dcm),Int_W(dcm),TS2W_#(dcm),I_W_W(dcm),TS1NW_#(dcm),Int_N_W(dcm),TS2NW_#(dcm),I_N_W_W(dcm),TS1WW_#(dcm),Int_W_W(dcm),TS2WW_#(dcm),I_W_W_W(dcm),Imine(dcm)
0.000000000000000000e+00,5.999999999999999778e-02,5.999999999999999778e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000021e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.342077214233811402e-03,5.998944022700938156e-02,5.998942353418836720e-02,1.053121136241921989e-05,1.446184542379895510e-08,9.999872882126765224e-04,1.040379576453094273e-09,1.013354109824154799e-12,2.071494608248679724e-12,0.000000000000000000e+00,4.840989632799861282e-16,0.000000000000000000e+00,5.170189202919070844e-18,0.000000000000000000e+00,1.388016330139283896e-09,0.000000000000000000e+00,1.235832989067229000e-10,0.000000000000000000e+00,1.735951230023028281e-10,0.000000000000000000e+00,1.053122733681480785e-08,0.000000000000000000e+00,7.023190235196220832e-13,0.000000000000000000e+00,7.176602851315451980e-10,0.000000000000000000e+00,3.620218269073153715e-16,0.000000000000000000e+00,1.215328079123733568e-10,9.931721170241690872e-123
3.841854914065418423e-03,5.998809562322979239e-02,5.998807859349437194e-02,1.187370748919429738e-05,1.446086759357888185e-08,9.999853916917462050e-04,1.040364934384154806e-09,1.013284012190084337e-12,2.071393458096967381e-12,0.000000000000000000e+00,6.314663355667753135e-16,0.000000000000000000e+00,7.007682778495700879e-18,0.000000000000000000e+00,1.579422033654677565e-09,0.000000000000000000e+00,1.627318592129253211e-10,0.000000000000000000e+00,1.735938582352798761e-10,0.000000000000000000e+00,1.228353680734593022e-08,0.000000000000000000e+00,7.022704288599602133e-13,0.000000000000000000e+00,8.249983745733731657e-10,0.000000000000000000e+00,3.620041495311635534e-16,0.000000000000000000e+00,1.399776069350720726e-10,1.158841172979903796e-122
4.416369890518032429e-03,5.998661608978757276e-02,5.998659867282729596e-02,1.335081817923027789e-05,1.445979142742150363e-08,9.999832116600274740e-04,1.040304449477634190e-09,1.013206789194135612e-12,2.071281764357982803e-12,0.000000000000000000e+00,8.222142309093638761e-16,0.000000000000000000e+00,9.469333796211699316e-18,0.000000000000000000e+00,1.793271087282017319e-09,0.000000000000000000e+00,2.138697015299095127e-10,0.000000000000000000e+00,1.735835352909813453e-10,0.000000000000000000e+00,1.429794427687611022e-08,0.000000000000000000e+00,7.022168946123232020e-13,0.000000000000000000e+00,9.483126395698364888e-10,0.000000000000000000e+00,3.619846295182931536e-16,0.000000000000000000e+00,1.611681800848566660e-10,1.349813458209977653e-122
5.076798433607417754e-03,5.998499870635921882e-02,5.998498084436863081e-02,1.496541665544399589e-05,1.445861515803679043e-08,9.999807057397707994e-04,1.040231334478224692e-09,1.013122250720005102e-12,2.071159163525151987e-12,0.000000000000000000e+00,1.068398310547472697e-15,0.000000000000000000e+00,1.276186644541644603e-17,0.000000000000000000e+00,2.031179432097030812e-09,0.000000000000000000e+00,2.805121516843130825e-10,0.000000000000000000e+00,1.735708464936964012e-10,0.000000000000000000e+00,1.661360877633583186e-08,0.000000000000000000e+00,7.021582889925795909e-13,0.000000000000000000e+00,1.089968565170439147e-09,0.000000000000000000e+00,3.619632033413883267e-16,0.000000000000000000e+00,1.855111920074042787e-10,1.570016747958496294e-122
5.835988147373113132e-03,5.998324381211355555e-02,5.998322543868381262e-02,1.671710961025472009e-05,1.445733908305057517e-08,9.999778252174906790e-04,1.040172925463597344e-09,1.013030365572232385e-12,2.071025479103188761e-12,0.000000000000000000e+00,1.385069727185772535e-15,0.000000000000000000e+00,1.715987093642202437e-17,0.000000000000000000e+00,2.294563581490851822e-09,0.000000000000000000e+00,3.671338899337746919e-10,0.000000000000000000e+00,1.735612973025325060e-10,0.000000000000000000e+00,1.927556655461210432e-08,0.000000000000000000e+00,7.020945903829660790e-13,0.000000000000000000e+00,1.252678058958891148e-09,0.000000000000000000e+00,3.619398401555314212e-16,0.000000000000000000e+00,2.134728865830640130e-10,1.824004925870300281e-122
6.684154428467622804e-03,5.998140711511786710e-02,5.998138817049981225e-02,1.855023027696841277e-05,1.445600351521594932e-08,9.999746072499721399e-04,1.040105884937554079e-09,1.012933996404562021e-12,2.070884722922474962e-12,0.000000000000000000e+00,1.778824707330047335e-15,0.000000000000000000e+00,2.285107587438689494e-17,0.000000000000000000e+00,2.576552318278581885e-09,0.000000000000000000e+00,4.760532473594864843e-10,0.000000000000000000e+00,1.735501204886505645e-10,0.000000000000000000e+00,2.224957355771712157e-08,0.000000000000000000e+00,7.020277833034010690e-13,0.000000000000000000e+00,1.434294008671005816e-09,0.000000000000000000e+00,3.619152410828841963e-16,0.000000000000000000e+00,2.446845004669941352e-10,2.108802889763360985e-122
6.708707879914450715e-03,5.998135581135684291e-02,5.998133685020666517e-02,1.860143050960976285e-05,1.445596620985935732e-08,9.999745140955962168e-04,1.040103953224367579e-09,1.012931301322515336e-12,2.070880777746485809e-12,0.000000000000000000e+00,1.790825753517374512e-15,0.000000000000000000e+00,2.302807689135911039e-17,0.000000000000000000e+00,2.584528123269187630e-09,0.000000000000000000e+00,4.793918531515601049e-10,0.000000000000000000e+00,1.735497965084904596e-10,0.000000000000000000e+00,2.233566894588866931e-08,0.000000000000000000e+00,7.020259149620732571e-13,0.000000000000000000e+00,1.439549034406904469e-09,0.000000000000000000e+00,3.619145516092846451e-16,0.000000000000000000e+00,2.455876156097844693e-10,2.117063404275901255e-122
7.711935028223913281e-03,5.997934501569221477e-02,5.997932537921461110e-02,2.060799622266506565e-05,1.445450410562009518e-08,9.999707079998572910e-04,1.040027444797848502e-09,1.012825516456921526e-12,2.070725511481011872e-12,0.000000000000000000e+00,2.308738337104045098e-15,0.000000000000000000e+00,3.085068238241275586e-17,0.000000000000000000e+00,2.901682553420554621e-09,0.000000000000000000e+00,6.244345750247464460e-10,0.000000000000000000e+00,1.735369435021195718e-10,0.000000000000000000e+00,2.585350219095103906e-08,0.000000000000000000e+00,7.019525805883338947e-13,0.000000000000000000e+00,1.654141592515216038e-09,0.000000000000000000e+00,3.618874167004986145e-16,0.000000000000000000e+00,2.824675090539407948e-10,2.455321156599738509e-122
8.865185806883781397e-03,5.997722752933059426e-02,5.997720711693396711e-02,2.272062032038920127e-05,1.445296451703210613e-08,9.999663329196399088e-04,1.039948064475167628e-09,1.012713753036954620e-12,2.070560492863027009e-12,0.000000000000000000e+00,2.966701189786474730e-15,0.000000000000000000e+00,4.127080199898953367e-17,0.000000000000000000e+00,3.246016683639114539e-09,0.000000000000000000e+00,8.111688395396595179e-10,0.000000000000000000e+00,1.735236607366147319e-10,0.000000000000000000e+00,2.989759327198288162e-08,0.000000000000000000e+00,7.018751017085973261e-13,0.000000000000000000e+00,1.900531992447738094e-09,0.000000000000000000e+00,3.618585774346079045e-16,0.000000000000000000e+00,3.248134684615456881e-10,2.845884607439047872e-122
