# t,CH4,Cl·,H3CHCl‡,CH3·,HCl
0.000000000000000000e+00,9.000000000000000222e-01,5.000000000000000000e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000056e-01
1.799454599634021428e-10,8.613596831033689671e-01,4.613596831033689449e-01,0.000000000000000000e+00,3.864031689663104813e-02,1.386403168966310606e-01
1.799454599634022461e-10,8.613596831033689671e-01,4.613596831033688894e-01,0.000000000000000000e+00,3.864031689663106894e-02,1.386403168966310884e-01
1.884945618358305722e-10,8.596395767760092177e-01,4.596395767760091955e-01,0.000000000000000000e+00,4.036042322399080451e-02,1.403604232239908101e-01
1.974498264580167459e-10,8.578483172617613617e-01,4.578483172617612840e-01,0.000000000000000000e+00,4.215168273823869521e-02,1.421516827382386938e-01
2.068305503808443380e-10,8.559834054518724589e-01,4.559834054518723812e-01,0.000000000000000000e+00,4.401659454812758415e-02,1.440165945481275689e-01
2.166569469228626742e-10,8.540423196624474800e-01,4.540423196624474023e-01,0.000000000000000000e+00,4.595768033755256304e-02,1.459576803375525478e-01
2.269501897253739641e-10,8.520225313583792426e-01,4.520225313583792204e-01,0.000000000000000000e+00,4.797746864162075880e-02,1.479774686416207574e-01
2.377324583767964077e-10,8.499214802611246844e-01,4.499214802611246622e-01,0.000000000000000000e+00,5.007851973887533781e-02,1.500785197388753156e-01
2.490269862046140041e-10,8.477365787956406828e-01,4.477365787956406051e-01,0.000000000000000000e+00,5.226342120435936017e-02,1.522634212043593449e-01
2.608581103378933790e-10,8.454652169330278966e-01,4.454652169330278189e-01,0.000000000000000000e+00,5.453478306697215339e-02,1.545347830669721312e-01
2.732513241482411847e-10,8.431047674066299846e-01,4.431047674066300179e-01,0.000000000000000000e+00,5.689523259336998207e-02,1.568952325933699599e-01
2.862333321821998561e-10,8.406525912654727595e-01,4.406525912654727373e-01,0.000000000000000000e+00,5.934740873452727661e-02,1.593474087345272683e-01
2.998321077034492255e-10,8.381060437118396100e-01,4.381060437118395323e-01,0.000000000000000000e+00,6.189395628816043299e-02,1.618939562881604177e-01
3.140769529688038217e-10,8.354624801488772512e-01,4.354624801488772290e-01,0.000000000000000000e+00,6.453751985112274325e-02,1.645375198511227210e-01
3.289985623678868051e-10,8.327192623386943104e-01,4.327192623386943438e-01,0.000000000000000000e+00,6.728073766130567013e-02,1.672807376613056340e-01
3.446290885625326737e-10,8.298737800060184133e-01,4.298737800060183356e-01,0.000000000000000000e+00,7.012621999398165051e-02,1.701262199939816144e-01
3.598909199268044923e-10,8.271227590604993685e-01,4.271227590604993463e-01,0.000000000000000000e+00,7.287724093950063986e-02,1.728772409395006315e-01
3.610022117684333769e-10,8.269234845327805283e-01,4.269234845327804506e-01,0.000000000000000000e+00,7.307651546721953550e-02,1.730765154672194994e-01
3.781532123283141376e-10,8.238657598657972425e-01,4.238657598657972203e-01,0.000000000000000000e+00,7.613424013420276582e-02,1.761342401342027575e-01
3.961190467330183555e-10,8.206981636762792354e-01,4.206981636762792132e-01,0.000000000000000000e+00,7.930183632372075908e-02,1.793018363237207369e-01
4.149384272543082723e-10,8.174183183668495278e-01,4.174183183668494501e-01,0.000000000000000000e+00,8.258168163315052213e-02,1.825816816331504999e-01
4.346519053609733999e-10,8.140239200560890342e-01,4.140239200560890120e-01,0.000000000000000000e+00,8.597607994391096020e-02,1.859760799439109380e-01
4.553019590979880939e-10,8.105127468204463836e-01,4.105127468204463059e-01,0.000000000000000000e+00,8.948725317955366632e-02,1.894872531795536441e-01
4.769330846170014356e-10,8.068826657838530370e-01,4.068826657838529592e-01,0.000000000000000000e+00,9.311733421614702688e-02,1.931173342161469908e-01
4.995918920553860077e-10,8.031317166898702675e-01,4.031317166898701898e-01,0.000000000000000000e+00,9.686828331012978244e-02,1.968682833101297602e-01
5.233272059704434862e-10,7.992579968811514002e-01,3.992579968811513225e-01,0.000000000000000000e+00,1.007420031188486081e-01,2.007420031188485998e-01
5.398363798902067384e-10,7.965963479880092679e-01,3.965963479880091347e-01,0.000000000000000000e+00,1.034036520119907820e-01,2.034036520119907598e-01
5.481901705451795201e-10,7.952596299512618705e-01,3.952596299512617928e-01,0.000000000000000000e+00,1.047403700487381517e-01,2.047403700487381295e-01
5.742343597923425890e-10,7.911351839410311060e-01,3.911351839410309728e-01,0.000000000000000000e+00,1.088648160589689440e-01,2.088648160589689218e-01
6.015158929941910548e-10,7.868834032828475600e-01,3.868834032828475378e-01,0.000000000000000000e+00,1.131165967171524345e-01,2.131165967171524123e-01
6.300935556267352686e-10,7.825032122203025020e-01,3.825032122203024243e-01,0.000000000000000000e+00,1.174967877796974924e-01,2.174967877796974702e-01
6.600289260290180724e-10,7.779937136142288656e-01,3.779937136142287324e-01,0.000000000000000000e+00,1.220062863857712121e-01,2.220062863857711899e-01
6.913865080903783776e-10,7.733541818098678133e-01,3.733541818098677356e-01,0.000000000000000000e+00,1.266458181901322366e-01,2.266458181901322144e-01
7.197818398536089846e-10,7.692254790949184518e-01,3.692254790949184851e-01,0.000000000000000000e+00,1.307745209050815149e-01,2.307745209050814650e-01
7.242338702416065977e-10,7.685842727550509235e-01,3.685842727550509568e-01,0.000000000000000000e+00,1.314157272449490155e-01,2.314157272449489655e-01
