# t,CH4,Cl·,H3CHCl‡,CH3·,HCl
0.000000000000000000e+00,9.000000000000000222e-01,5.000000000000000000e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000056e-01
1.632548831112940776e-09,8.613596831033669687e-01,4.613596831033669465e-01,0.000000000000000000e+00,3.864031689663303959e-02,1.386403168966330313e-01
1.710110255956541528e-09,8.596395767760084405e-01,4.596395767760084183e-01,0.000000000000000000e+00,4.036042322399155391e-02,1.403604232239915595e-01
1.791356578004514010e-09,8.578483172617494823e-01,4.578483172617494046e-01,0.000000000000000000e+00,4.215168273825058154e-02,1.421516827382506010e-01
1.876462864533332610e-09,8.559834054518684621e-01,4.559834054518683288e-01,0.000000000000000000e+00,4.401659454813165034e-02,1.440165945481316767e-01
1.965612500161744590e-09,8.540423196624491453e-01,4.540423196624491231e-01,0.000000000000000000e+00,4.595768033755087689e-02,1.459576803375508824e-01
2.058997582002760184e-09,8.520225313583846827e-01,4.520225313583846605e-01,0.000000000000000000e+00,4.797746864161535341e-02,1.479774686416153728e-01
2.156819333589076827e-09,8.499214802611319008e-01,4.499214802611318231e-01,0.000000000000000000e+00,5.007851973886816299e-02,1.500785197388681824e-01
2.259288538463855780e-09,8.477365787956478993e-01,4.477365787956477661e-01,0.000000000000000000e+00,5.226342120435219923e-02,1.522634212043522117e-01
2.366625994371138597e-09,8.454652169330335587e-01,4.454652169330334810e-01,0.000000000000000000e+00,5.453478306696651207e-02,1.545347830669665246e-01
2.479062989024580143e-09,8.431047674066330933e-01,4.431047674066330155e-01,0.000000000000000000e+00,5.689523259336695671e-02,1.568952325933669623e-01
2.596841798479669801e-09,8.406525912654726485e-01,4.406525912654726262e-01,0.000000000000000000e+00,5.934740873452738069e-02,1.593474087345274071e-01
2.720216209183325215e-09,8.381060437118366124e-01,4.381060437118365347e-01,0.000000000000000000e+00,6.189395628816345141e-02,1.618939562881634708e-01
2.849452064825746044e-09,8.354624801488725883e-01,4.354624801488725661e-01,0.000000000000000000e+00,6.453751985112744782e-02,1.645375198511274673e-01
2.984827839172880407e-09,8.327192623386905357e-01,4.327192623386904025e-01,0.000000000000000000e+00,6.728073766130955591e-02,1.672807376613095753e-01
3.126635236113815901e-09,8.298737800060034253e-01,4.298737800060033476e-01,0.000000000000000000e+00,7.012621999399662465e-02,1.701262199939966302e-01
3.265097662225881552e-09,8.271227590604969260e-01,4.271227590604968483e-01,0.000000000000000000e+00,7.287724093950311011e-02,1.728772409395031018e-01
3.275179818216069080e-09,8.269234845327786410e-01,4.269234845327786187e-01,0.000000000000000000e+00,7.307651546722136737e-02,1.730765154672213868e-01
3.430781665143162929e-09,8.238657598658024606e-01,4.238657598658023828e-01,0.000000000000000000e+00,7.613424013419757552e-02,1.761342401341975950e-01
3.593776063353230347e-09,8.206981636762862298e-01,4.206981636762862076e-01,0.000000000000000000e+00,7.930183632371377855e-02,1.793018363237137980e-01
3.764514228564790646e-09,8.174183183668543018e-01,4.174183183668542796e-01,0.000000000000000000e+00,8.258168163314570653e-02,1.825816816331457260e-01
3.943364062546443473e-09,8.140239200560895894e-01,4.140239200560895116e-01,0.000000000000000000e+00,8.597607994391046060e-02,1.859760799439104662e-01
